StateID,TemporalPropertyID,BinID,BinLow,BinHigh,BinLowScore
1,1,0,-inf,16.12615658068449,
2,1,1,16.12615658068449,23.95687332035595,
3,1,2,23.95687332035595,30.241463414634147,
4,1,3,30.241463414634147,36.52605350891234,
5,1,4,36.52605350891234,44.3567702485838,
6,1,5,44.3567702485838,inf,
7,2,0,-inf,inf,
8,3,0,-inf,inf,
9,4,0,-inf,20.88088624626853,
10,4,1,20.88088624626853,23.720805366355464,
11,4,2,23.720805366355464,26.0,
12,4,3,26.0,28.279194633644533,
13,4,4,28.279194633644533,31.11911375373147,
14,4,5,31.11911375373147,inf,
15,5,0,-inf,inf,
16,6,0,-inf,28.92411896188661,
17,6,1,28.92411896188661,37.54530200500766,
18,6,2,37.54530200500766,44.464285714285715,
19,6,3,44.464285714285715,51.38326942356376,
20,6,4,51.38326942356376,60.004452466684825,
21,6,5,60.004452466684825,inf,
22,39,0,-inf,6.399287317428015,
23,39,1,6.399287317428015,7.098979475371099,
24,39,2,7.098979475371099,7.660521739130435,
25,39,3,7.660521739130435,8.222064002889772,
26,39,4,8.222064002889772,8.921756160832857,
27,39,5,8.921756160832857,inf,
28,40,0,-inf,78.5999651162937,
29,40,1,78.5999651162937,84.63539507165709,
30,40,2,84.63539507165709,89.47916666666667,
31,40,3,89.47916666666667,94.32293826167626,
32,40,4,94.32293826167626,100.35836821703964,
33,40,5,100.35836821703964,inf,
34,41,0,-inf,149.60729093961427,
35,41,1,149.60729093961427,158.58763843536767,
36,41,2,158.58763843536767,165.7948717948718,
37,41,3,165.7948717948718,173.00210515437593,
38,41,4,173.00210515437593,181.98245265012932,
39,41,5,181.98245265012932,inf,
40,42,0,-inf,93.52675965294853,
41,42,1,93.52675965294853,126.54243548380768,
42,42,2,126.54243548380768,153.03937007874015,
43,42,3,153.03937007874015,179.53630467367262,
44,42,4,179.53630467367262,212.55198050453177,
45,42,5,212.55198050453177,inf,
46,43,0,-inf,3.9195712825571327,
47,43,1,3.9195712825571327,4.008571958063693,
48,43,2,4.008571958063693,4.08,
49,43,3,4.08,4.151428041936307,
50,43,4,4.151428041936307,4.240428717442867,
51,43,5,4.240428717442867,inf,
52,44,0,-inf,0.9544626624462496,
53,44,1,0.9544626624462496,1.0105758060528356,
54,44,2,1.0105758060528356,1.055609756097561,
55,44,3,1.055609756097561,1.1006437061422865,
56,44,4,1.1006437061422865,1.1567568497488725,
57,44,5,1.1567568497488725,inf,
58,55,0,-inf,-0.18407034965662272,
59,55,1,-0.18407034965662272,0.19542980582601432,
60,55,2,0.19542980582601432,0.5,
61,55,3,0.5,0.8045701941739856,
62,55,4,0.8045701941739856,1.1840703496566227,
63,55,5,1.1840703496566227,inf,
