StateID,TemporalPropertyID,BinID,BinLow,BinHigh,BinLowScore
1,1,0,-inf,16.152622826049942,
2,1,1,16.152622826049942,23.899423738179056,
3,1,2,23.899423738179056,30.116666666666667,
4,1,3,30.116666666666667,36.333909595154275,
5,1,4,36.333909595154275,44.08071050728339,
6,1,5,44.08071050728339,inf,
7,2,0,-inf,inf,
8,3,0,-inf,inf,
9,4,0,-inf,18.159296503433772,
10,4,1,18.159296503433772,21.954298058260143,
11,4,2,21.954298058260143,25.0,
12,4,3,25.0,28.045701941739857,
13,4,4,28.045701941739857,31.840703496566228,
14,4,5,31.840703496566228,inf,
15,5,0,-inf,inf,
16,6,0,-inf,inf,
17,39,0,-inf,6.895369742394439,
18,39,1,6.895369742394439,7.34868724105015,
19,39,2,7.34868724105015,7.7125,
20,39,3,7.7125,8.07631275894985,
21,39,4,8.07631275894985,8.529630257605563,
22,39,5,8.529630257605563,inf,
23,40,0,-inf,inf,
24,41,0,-inf,150.26227211877716,
25,41,1,150.26227211877716,156.83562563736865,
26,41,2,156.83562563736865,162.11111111111111,
27,41,3,162.11111111111111,167.38659658485358,
28,41,4,167.38659658485358,173.95995010344507,
29,41,5,173.95995010344507,inf,
30,42,0,-inf,96.17523320733892,
31,42,1,96.17523320733892,126.37606218592504,
32,42,2,126.37606218592504,150.6139240506329,
33,42,3,150.6139240506329,174.85178591534077,
34,42,4,174.85178591534077,205.0526148939269,
35,42,5,205.0526148939269,inf,
36,43,0,-inf,3.9322818086582316,
37,43,1,3.9322818086582316,4.066074875290745,
38,43,2,4.066074875290745,4.173451327433628,
39,43,3,4.173451327433628,4.28082777957651,
40,43,4,4.28082777957651,4.414620846209024,
41,43,5,4.414620846209024,inf,
42,44,0,-inf,0.9786534744758759,
43,44,1,0.9786534744758759,1.0372326948594164,
44,44,2,1.0372326948594164,1.0842458100558658,
45,44,3,1.0842458100558658,1.1312589252523153,
46,44,4,1.1312589252523153,1.1898381456358558,
47,44,5,1.1898381456358558,inf,
48,55,0,-inf,-0.22520776827533323,
49,55,1,-0.22520776827533323,0.08465281113778036,
50,55,2,0.08465281113778036,0.3333333333333333,
51,55,3,0.3333333333333333,0.5820138555288862,
52,55,4,0.5820138555288862,0.8918744349419998,
53,55,5,0.8918744349419998,inf,
