EntityID,TemporalPropertyID,TimeStamp,StateID
8.0,1.0,5.0,1.0
7.0,4.0,45.0,2.0
7.0,5.0,41.0,3.0
7.0,5.0,45.0,3.0
7.0,6.0,12.0,4.0
7.0,6.0,13.0,5.0
7.0,6.0,14.0,5.0
7.0,6.0,16.0,5.0
7.0,6.0,17.0,5.0
7.0,6.0,28.0,9.0
7.0,6.0,29.0,5.0
7.0,6.0,31.0,9.0
7.0,6.0,32.0,9.0
7.0,6.0,33.0,5.0
7.0,6.0,35.0,5.0
7.0,6.0,36.0,5.0
7.0,6.0,37.0,5.0
7.0,6.0,38.0,9.0
7.0,6.0,40.0,9.0
7.0,6.0,41.0,9.0
7.0,6.0,42.0,9.0
7.0,6.0,43.0,9.0
7.0,6.0,44.0,9.0
7.0,6.0,45.0,9.0
7.0,6.0,46.0,9.0
7.0,6.0,47.0,9.0
7.0,6.0,48.0,9.0
7.0,6.0,49.0,5.0
7.0,6.0,50.0,5.0
7.0,6.0,51.0,9.0
7.0,6.0,52.0,5.0
7.0,6.0,53.0,5.0
8.0,6.0,5.0,4.0
6.0,39.0,49.0,11.0
6.0,39.0,50.0,11.0
6.0,39.0,51.0,11.0
6.0,39.0,52.0,11.0
6.0,39.0,53.0,11.0
6.0,39.0,54.0,11.0
6.0,39.0,55.0,11.0
6.0,39.0,56.0,12.0
6.0,39.0,57.0,12.0
6.0,39.0,58.0,12.0
6.0,39.0,59.0,12.0
6.0,39.0,60.0,11.0
6.0,39.0,61.0,11.0
6.0,39.0,62.0,11.0
6.0,39.0,63.0,11.0
6.0,39.0,64.0,11.0
6.0,39.0,65.0,11.0
6.0,39.0,66.0,11.0
6.0,39.0,67.0,11.0
7.0,39.0,12.0,15.0
7.0,39.0,13.0,15.0
7.0,39.0,14.0,15.0
7.0,39.0,15.0,15.0
7.0,39.0,16.0,15.0
7.0,39.0,17.0,15.0
7.0,39.0,18.0,15.0
7.0,39.0,19.0,15.0
7.0,39.0,20.0,15.0
7.0,39.0,21.0,15.0
7.0,39.0,22.0,15.0
7.0,39.0,23.0,15.0
7.0,39.0,24.0,15.0
7.0,39.0,25.0,15.0
7.0,39.0,26.0,15.0
7.0,39.0,27.0,15.0
7.0,39.0,28.0,15.0
7.0,39.0,29.0,15.0
7.0,39.0,30.0,15.0
7.0,39.0,31.0,15.0
7.0,39.0,32.0,15.0
7.0,39.0,33.0,15.0
7.0,39.0,34.0,15.0
7.0,39.0,35.0,12.0
7.0,39.0,36.0,12.0
7.0,39.0,37.0,12.0
7.0,39.0,38.0,12.0
7.0,39.0,39.0,12.0
7.0,39.0,40.0,12.0
7.0,39.0,41.0,12.0
7.0,39.0,42.0,12.0
7.0,39.0,43.0,12.0
7.0,39.0,44.0,12.0
7.0,39.0,45.0,12.0
7.0,39.0,46.0,12.0
7.0,39.0,47.0,12.0
7.0,39.0,48.0,12.0
7.0,39.0,49.0,12.0
7.0,39.0,50.0,12.0
7.0,39.0,51.0,12.0
7.0,39.0,52.0,12.0
7.0,39.0,53.0,11.0
7.0,39.0,54.0,11.0
7.0,39.0,55.0,11.0
7.0,39.0,56.0,11.0
7.0,39.0,57.0,11.0
7.0,39.0,58.0,11.0
7.0,39.0,59.0,11.0
7.0,39.0,60.0,11.0
7.0,39.0,61.0,10.0
7.0,39.0,62.0,10.0
7.0,39.0,63.0,10.0
7.0,39.0,64.0,10.0
7.0,39.0,65.0,10.0
7.0,39.0,66.0,10.0
7.0,39.0,67.0,10.0
6.0,40.0,28.0,21.0
6.0,40.0,29.0,21.0
6.0,40.0,30.0,21.0
6.0,40.0,31.0,21.0
6.0,40.0,32.0,21.0
6.0,40.0,33.0,18.0
6.0,40.0,34.0,18.0
6.0,40.0,35.0,18.0
6.0,40.0,36.0,18.0
6.0,40.0,37.0,18.0
6.0,40.0,38.0,18.0
6.0,40.0,39.0,18.0
6.0,40.0,40.0,18.0
6.0,40.0,41.0,18.0
6.0,40.0,42.0,18.0
6.0,40.0,43.0,18.0
6.0,40.0,44.0,18.0
6.0,40.0,45.0,18.0
6.0,40.0,46.0,18.0
6.0,40.0,47.0,18.0
6.0,40.0,48.0,18.0
6.0,40.0,49.0,18.0
6.0,40.0,50.0,18.0
6.0,40.0,51.0,18.0
6.0,40.0,52.0,18.0
6.0,40.0,53.0,18.0
6.0,40.0,54.0,18.0
6.0,40.0,55.0,18.0
6.0,40.0,56.0,18.0
6.0,40.0,57.0,18.0
6.0,40.0,58.0,18.0
6.0,40.0,59.0,18.0
6.0,40.0,60.0,18.0
6.0,40.0,61.0,18.0
6.0,40.0,62.0,18.0
6.0,40.0,63.0,18.0
6.0,40.0,64.0,18.0
6.0,40.0,65.0,18.0
6.0,40.0,66.0,18.0
7.0,40.0,41.0,16.0
7.0,40.0,42.0,16.0
7.0,40.0,43.0,16.0
7.0,40.0,44.0,16.0
7.0,40.0,45.0,16.0
7.0,40.0,46.0,16.0
7.0,40.0,47.0,16.0
7.0,40.0,48.0,16.0
7.0,40.0,49.0,16.0
7.0,40.0,50.0,16.0
7.0,40.0,51.0,16.0
7.0,40.0,52.0,16.0
7.0,40.0,53.0,16.0
7.0,40.0,54.0,16.0
7.0,40.0,55.0,16.0
7.0,40.0,56.0,16.0
7.0,40.0,57.0,16.0
7.0,40.0,58.0,16.0
7.0,40.0,59.0,16.0
7.0,40.0,60.0,16.0
7.0,40.0,61.0,17.0
7.0,40.0,62.0,17.0
7.0,40.0,63.0,17.0
7.0,40.0,64.0,17.0
7.0,40.0,65.0,17.0
7.0,40.0,66.0,17.0
7.0,40.0,67.0,17.0
8.0,40.0,23.0,20.0
8.0,40.0,24.0,20.0
8.0,40.0,25.0,20.0
8.0,40.0,26.0,20.0
8.0,40.0,27.0,20.0
8.0,40.0,28.0,20.0
8.0,40.0,29.0,20.0
8.0,40.0,30.0,20.0
8.0,40.0,31.0,20.0
8.0,40.0,32.0,20.0
8.0,40.0,33.0,20.0
8.0,40.0,34.0,20.0
8.0,40.0,35.0,20.0
8.0,40.0,36.0,20.0
8.0,40.0,37.0,20.0
8.0,40.0,38.0,20.0
8.0,40.0,39.0,20.0
8.0,40.0,40.0,20.0
8.0,40.0,41.0,20.0
8.0,40.0,42.0,20.0
8.0,40.0,43.0,20.0
8.0,40.0,44.0,20.0
8.0,40.0,45.0,20.0
8.0,40.0,46.0,20.0
8.0,40.0,47.0,20.0
8.0,40.0,48.0,20.0
8.0,40.0,49.0,20.0
8.0,40.0,50.0,20.0
8.0,40.0,51.0,20.0
8.0,40.0,52.0,20.0
8.0,40.0,53.0,20.0
8.0,40.0,54.0,20.0
8.0,40.0,55.0,20.0
8.0,40.0,56.0,20.0
8.0,40.0,57.0,20.0
8.0,40.0,58.0,20.0
8.0,40.0,59.0,20.0
8.0,40.0,60.0,20.0
8.0,40.0,61.0,20.0
8.0,40.0,62.0,20.0
8.0,40.0,63.0,20.0
8.0,40.0,64.0,20.0
8.0,40.0,65.0,20.0
8.0,40.0,66.0,20.0
8.0,40.0,67.0,20.0
6.0,41.0,3.0,27.0
6.0,41.0,4.0,27.0
6.0,41.0,5.0,27.0
6.0,41.0,6.0,27.0
6.0,41.0,7.0,27.0
6.0,41.0,8.0,27.0
6.0,41.0,11.0,27.0
6.0,41.0,12.0,27.0
6.0,41.0,13.0,27.0
6.0,41.0,14.0,27.0
6.0,41.0,15.0,27.0
6.0,41.0,20.0,27.0
6.0,41.0,21.0,27.0
6.0,41.0,22.0,27.0
6.0,41.0,23.0,27.0
6.0,41.0,28.0,27.0
6.0,41.0,29.0,27.0
6.0,41.0,30.0,27.0
6.0,41.0,31.0,27.0
6.0,41.0,32.0,27.0
6.0,41.0,33.0,23.0
6.0,41.0,34.0,23.0
6.0,41.0,35.0,23.0
6.0,41.0,36.0,23.0
6.0,41.0,37.0,23.0
6.0,41.0,38.0,23.0
6.0,41.0,39.0,23.0
6.0,41.0,40.0,23.0
6.0,41.0,41.0,23.0
6.0,41.0,42.0,23.0
6.0,41.0,43.0,23.0
6.0,41.0,44.0,23.0
6.0,41.0,45.0,23.0
6.0,41.0,46.0,23.0
6.0,41.0,47.0,23.0
6.0,41.0,48.0,23.0
6.0,41.0,49.0,23.0
6.0,41.0,50.0,23.0
6.0,41.0,51.0,23.0
6.0,41.0,52.0,22.0
6.0,41.0,53.0,22.0
6.0,41.0,54.0,22.0
6.0,41.0,55.0,22.0
6.0,41.0,56.0,22.0
6.0,41.0,57.0,22.0
6.0,41.0,58.0,22.0
6.0,41.0,59.0,22.0
6.0,41.0,60.0,22.0
6.0,41.0,61.0,22.0
6.0,41.0,62.0,22.0
6.0,41.0,63.0,22.0
6.0,41.0,64.0,22.0
6.0,41.0,65.0,22.0
6.0,41.0,66.0,22.0
6.0,41.0,67.0,27.0
7.0,41.0,12.0,23.0
7.0,41.0,13.0,23.0
7.0,41.0,14.0,23.0
7.0,41.0,15.0,23.0
7.0,41.0,16.0,23.0
7.0,41.0,17.0,23.0
7.0,41.0,18.0,23.0
7.0,41.0,19.0,23.0
7.0,41.0,20.0,23.0
7.0,41.0,21.0,23.0
7.0,41.0,22.0,23.0
7.0,41.0,23.0,23.0
7.0,41.0,24.0,23.0
7.0,41.0,25.0,23.0
7.0,41.0,26.0,23.0
7.0,41.0,27.0,23.0
7.0,41.0,28.0,25.0
7.0,41.0,29.0,25.0
7.0,41.0,30.0,25.0
7.0,41.0,31.0,25.0
7.0,41.0,32.0,25.0
7.0,41.0,33.0,25.0
7.0,41.0,34.0,25.0
7.0,41.0,35.0,25.0
7.0,41.0,36.0,25.0
7.0,41.0,37.0,25.0
7.0,41.0,38.0,25.0
7.0,41.0,39.0,25.0
7.0,41.0,40.0,25.0
7.0,41.0,41.0,23.0
7.0,41.0,42.0,23.0
7.0,41.0,43.0,23.0
7.0,41.0,44.0,23.0
7.0,41.0,45.0,23.0
7.0,41.0,46.0,23.0
7.0,41.0,47.0,23.0
7.0,41.0,48.0,23.0
7.0,41.0,49.0,23.0
7.0,41.0,50.0,23.0
7.0,41.0,51.0,23.0
7.0,41.0,52.0,23.0
7.0,41.0,53.0,23.0
7.0,41.0,54.0,23.0
7.0,41.0,55.0,23.0
7.0,41.0,56.0,23.0
7.0,41.0,57.0,23.0
7.0,41.0,58.0,23.0
7.0,41.0,59.0,23.0
7.0,41.0,60.0,23.0
7.0,41.0,61.0,23.0
7.0,41.0,62.0,23.0
7.0,41.0,63.0,23.0
7.0,41.0,64.0,23.0
7.0,41.0,65.0,23.0
7.0,41.0,66.0,23.0
7.0,41.0,67.0,23.0
8.0,41.0,23.0,25.0
8.0,41.0,24.0,25.0
8.0,41.0,25.0,25.0
8.0,41.0,26.0,25.0
8.0,41.0,27.0,25.0
8.0,41.0,28.0,25.0
8.0,41.0,29.0,25.0
8.0,41.0,30.0,25.0
8.0,41.0,31.0,25.0
8.0,41.0,32.0,25.0
8.0,41.0,33.0,25.0
8.0,41.0,34.0,25.0
8.0,41.0,35.0,25.0
8.0,41.0,36.0,25.0
8.0,41.0,37.0,25.0
8.0,41.0,38.0,25.0
8.0,41.0,39.0,25.0
8.0,41.0,40.0,25.0
8.0,41.0,41.0,25.0
8.0,41.0,42.0,25.0
8.0,41.0,43.0,25.0
8.0,41.0,44.0,25.0
8.0,41.0,45.0,25.0
8.0,41.0,46.0,25.0
